Temperature T (C);Saturation Pressure Psat (kPa);Density Liquid (kg/m3);Density Vapor (kg/m3);Enthalpy of Vaporization hfg (kJ/kg);Specific Heat cp Liquid (J/kgK);Specific Heat cp Vapor (J/kgK);Thermal Conductivity k Liquid (W/mK);Thermal Conductivity k Vapor (W/mK);Dynamic Viscosity Liquid (kg/ms);Dynamic Viscosity Vapor (kg/ms;Prandtl Number Pr Liquid;Prandtl Number Pr Vapor;Volume Expansion Coefficient beta Liquid (1/K)
0,01;0,6113;999,8;0,0048;2501;4217;1854;561;0,0171;1,792E-03;9,22E-06;13,5;1;-6,8E-05
5;0,8721;999,9;0,0068;2490;4205;1857;571;0,0173;1,519E-03;9,34E-06;11,2;1;1,5E-05
10;1,2276;999,7;0,0094;2478;4194;1862;580;0,0176;1,307E-03;9,46E-06;9,45;1;7,33E-04
15;1,7051;999,1;0,0128;2466;4185;1863;589;0,0179;1,138E-03;9,59E-06;8,09;1;1,38E-04
20;2,339;998;0,0173;2454;4182;1867;598;0,0182;1,002E-03;9,73E-06;7,01;1;1,95E-04
25;3,169;997;0,0231;2442;4180;1870;607;0,0186;8,91E-04;9,87E-06;6,14;1;2,47E-04
30;4,246;996;0,0304;2431;4178;1875;615;0,0189;7,98E-04;1,001E-05;5,42;1;2,94E-04
35;5,628;994;0,0397;2419;4178;1880;623;0,0192;7,2E-04;1,016E-05;4,83;1;3,37E-04
40;7,384;992,1;0,0512;2407;4179;1885;631;0,0196;6,53E-04;1,031E-05;4,32;1;3,77E-04
45;9,593;990,1;0,0655;2395;4180;1892;637;0,02;5,96E-04;1,046E-05;3,91;1;4,15E-04
50;12,35;988,1;0,0831;2383;4181;1900;644;0,0204;5,47E-04;1,062E-05;3,55;1;4,51E-04
55;15,76;985,2;0,1045;2371;4183;1908;649;0,0208;5,04E-04;1,077E-05;3,25;1;4,84E-04
60;19,94;983,3;0,1304;2359;4185;1916;654;0,0212;4,67E-04;1,093E-05;2,99;1;5,17E-04
65;25,03;980,4;0,1614;2346;4187;1926;659;0,0216;4,33E-04;1,11E-05;2,75;1;5,48E-04
70;31,19;977,5;0,1983;2334;4190;1936;663;0,0221;4,04E-04;1,126E-05;2,55;1;5,78E-04
75;38,58;974,7;0,2421;2321;4193;1948;667;0,0225;3,78E-04;1,142E-05;2,38;1;6,07E-04
80;47,39;971,8;0,2935;2309;4197;1962;670;0,023;3,55E-04;1,159E-05;2,22;1;6,53E-04
85;57,83;968,1;0,3536;2296;4201;1977;673;0,0235;3,33E-04;1,176E-05;2,08;1;6,7E-04
90;70,14;965,3;0,4235;2283;4206;1993;675;0,024;3,15E-04;1,193E-05;1,96;1;7,02E-04
95;84,55;961,5;0,5045;2270;4212;2010;677;0,0246;2,97E-04;1,21E-05;1,85;1;7,16E-04
100;101,33;957,9;0,5978;2257;4217;2029;679;0,0251;2,82E-04;1,227E-05;1,75;1;7,5E-04
110;143,27;950,6;0,8263;2230;4229;2071;682;0,0262;2,55E-04;1,261E-05;1,58;1;7,98E-04
120;198,53;943,4;1,121;2203;4244;2120;683;0,0275;2,32E-04;1,296E-05;1,44;1;8,58E-04
130;270,1;934,6;1,496;2174;4263;2177;684;0,0288;2,13E-04;1,33E-05;1,33;1,01;9,13E-04
140;361,3;921,7;1,965;2145;4286;2244;683;0,0301;1,97E-04;1,365E-05;1,24;1,02;9,7E-04
150;475,8;916,6;2,546;2114;4311;2314;682;0,0316;1,83E-04;1,399E-05;1,16;1,02;1,025E-03
160;617,8;907,4;3,256;2083;4340;2420;680;0,0331;1,7E-04;1,434E-05;1,09;1,05;1,145E-03
170;791,7;897,7;4,119;2050;4370;2490;677;0,0347;1,6E-04;1,468E-05;1,03;1,05;1,178E-03
180;1002,1;887,3;5,153;2015;4410;2590;673;0,0364;1,5E-04;1,502E-05;983;1,07;1,21E-03
190;1254,4;876,4;6,388;1979;4460;2710;669;0,0382;1,42E-04;1,537E-05;947;1,09;1,28E-03
200;1553,8;864,3;7,852;1941;4500;2840;663;0,0401;1,34E-04;1,571E-05;910;1,11;1,35E-03
220;2318;840,3;11,6;1859;4610;3110;650;0,0442;1,22E-04;1,641E-05;865;1,15;1,52E-03
240;3344;813,7;16,73;1767;4760;3520;632;0,0487;1,11E-04;1,712E-05;836;1,24;1,72E-03
260;4688;783,7;23,69;1663;4970;4070;609;0,054;1,02E-04;1,788E-05;832;1,35;2E-03
280;6412;750,8;33,15;1544;5280;4835;581;0,0605;9,4E-05;1,87E-05;854;1,49;2,38E-03
300;8581;713,8;46,15;1405;5750;5980;548;0,0695;8,6E-05;1,965E-05;902;1,69;2,95E-03
320;11274;667,1;64,57;1239;6540;7900;509;0,0836;7,8E-05;2,084E-05;1;1,97;
340;14586;610,5;92,62;1028;8240;11870;469;110;7E-05;2,255E-05;1,23;2,43;
360;18651;528,3;144;720;14690;25800;427;178;6E-05;2,571E-05;2,06;3,73;
374,14;22090;317;317;0;—;—;—;—;4,3E-05;4,313E-05;;;
